MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Wind,EJ/yr,0.387,1.661,5.996,13.052,21.868,32.185,47.596,59.216,68.107,78.502,104.085
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Gases,EJ/yr,87.434,94.907,107.877,131.349,163.167,196.611,224.611,242.92,272.407,275.551,294.028
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Gases|Biomass,EJ/yr,0,0.065,0,0,0,0,0,0,0,0,0.194
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Gases|Coal,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Gases|Natural Gas,EJ/yr,87.434,94.624,107.877,131.221,162.38,193.819,219.851,229.47,236.266,205.985,181.026
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Heat,EJ/yr,13.436,13.247,14.544,19.285,18.357,18.193,20.757,27.535,34.38,41.805,49.931
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Heat|Geothermal,EJ/yr,0.15,0.19,0.283,0.351,0.107,0.107,0.107,0.072,0.089,0.089,0.126
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Hydrogen,EJ/yr,0,0.218,0,0.128,1.824,4.689,11.372,25.353,51.653,90.89,140.425
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Hydrogen|Biomass,EJ/yr,0,0,0,0,0,0,0,0.374,0.586,1.971,2.337
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Hydrogen|Biomass|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0.374,0.586,1.971,2.337
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Hydrogen|Biomass|w/o CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,0.218,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Liquids,EJ/yr,164.135,159.768,196.785,211.947,221.589,218.74,191.886,157.956,129.185,99.693,81.381
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Liquids|Biomass,EJ/yr,0.932,2.322,3.511,1.554,1.035,2.875,5.202,9.32,18.379,28.268,36.786
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Liquids|Biomass|w/ CCS,EJ/yr,0,0,0,0.04,0.225,0.929,2.884,7.895,18.122,28.124,36.662
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Liquids|Biomass|w/o CCS,EJ/yr,0.932,2.322,3.511,1.514,0.81,1.946,2.318,1.425,0.257,0.144,0.124
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Liquids|Coal,EJ/yr,0,0,1.2,3.873,6.782,8.842,12.369,15.518,10.211,3.451,0
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Liquids|Coal|w/ CCS,EJ/yr,0,0,0,0.537,2.286,6.014,11.489,15.518,10.211,3.451,0
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Liquids|Coal|w/o CCS,EJ/yr,0,0,1.2,3.336,4.496,2.828,0.88,0,0,0,0
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Liquids|Gas,EJ/yr,0,0,0.936,2.845,3.5,2.728,1.16,0.123,0.513,0.513,0
